Rk,Gtm,Date,,Opp,Rslt,Tm,Opp,OT,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1,1,2024-10-23,@,UTA,W,126,124,,121.8,119.9,103.4,0.352,0.495,0.6,54.4,65.1,6.8,8.5,0.566,11,27.1,0.253,0.529,14,33.3,0.4
2,2,2024-10-25,@,HOU,L,108,128,,100.3,118.9,107.7,0.396,0.308,0.505,59.8,63.2,7.4,14.5,0.473,15.1,25.5,0.242,0.526,14.3,44.2,0.255
3,3,2024-10-26,,ORL,W,124,111,,118,105.7,105,0.279,0.395,0.642,49.4,82.6,9.5,12.8,0.61,15.7,17.1,0.221,0.523,16.1,25,0.23
4,4,2024-10-28,,CHI,L,123,126,,117.4,120.3,104.8,0.117,0.387,0.527,45.5,72.5,4.8,19.1,0.523,7.9,31.6,0.063,0.575,7.7,20.8,0.11
5,5,2024-10-30,,BRK,L,106,119,,106.4,119.4,99.6,0.358,0.333,0.565,47.2,71.1,9,7.7,0.519,19,31.6,0.272,0.606,17.3,23.5,0.275
6,6,2024-10-31,,MIL,W,122,99,,117.4,95.3,103.9,0.378,0.341,0.638,40.4,60.5,5.8,5.6,0.573,15.1,19.4,0.341,0.474,8.7,15.5,0.083
7,7,2024-11-02,@,PHI,W,124,107,,123.1,106.3,100.7,0.241,0.31,0.644,38.8,72.9,8.9,14,0.621,15,30.6,0.184,0.511,12.5,16.3,0.18
8,8,2024-11-04,@,BRK,L,104,106,,112,114.2,92.8,0.143,0.33,0.538,45.7,67.4,5.4,16.7,0.516,13.4,34.2,0.11,0.554,13.2,27.9,0.155
9,9,2024-11-06,,LAL,W,131,114,,126.3,109.9,103.8,0.247,0.366,0.635,42.5,58.3,4.8,13.3,0.608,14.9,30,0.194,0.522,9.7,19.1,0.183
10,10,2024-11-08,,WAS,W,128,104,,118.4,96.2,108.1,0.258,0.443,0.593,45.1,65.2,9.3,17.2,0.546,15,30.2,0.227,0.457,14.9,22.9,0.204
11,11,2024-11-10,@,POR,W,134,89,,121.4,80.6,110.4,0.329,0.506,0.688,45.7,68.1,13.6,22.4,0.647,19.1,27,0.282,0.36,18,28.1,0.17
12,12,2024-11-13,@,LAL,L,123,128,,116.9,121.7,105.2,0.371,0.371,0.594,50.6,66.7,10.5,13.6,0.539,11.9,25.5,0.303,0.624,15.4,19.4,0.259
13,13,2024-11-15,@,GSW,L,118,123,,106.2,110.7,111.1,0.32,0.408,0.502,50.9,52.4,7.2,21.2,0.442,11.3,30,0.262,0.536,14.8,28,0.184
14,14,2024-11-17,,DEN,W,105,90,,108.6,93.1,96.6,0.132,0.429,0.545,46.4,75.6,10.3,18.9,0.522,11.9,23.3,0.11,0.476,14.3,14.6,0.119
15,15,2024-11-19,,DEN,L,110,122,,96,106.5,114.5,0.301,0.369,0.472,49.1,58.5,7.9,15.6,0.442,15.9,32.2,0.184,0.54,14.8,26.5,0.14
16,16,2024-11-20,,PHI,W,117,111,,120.2,114.1,97.3,0.188,0.506,0.636,50,70.7,5.1,11.1,0.594,17.9,25,0.188,0.511,12.5,30.4,0.253
17,17,2024-11-23,@,CHI,W,142,131,,136.9,126.3,103.7,0.208,0.438,0.677,41.7,69.1,4.8,7.3,0.672,11.8,34.2,0.135,0.603,9.5,21.7,0.144
18,18,2024-11-25,,POR,W,123,98,,120.9,96.3,101.7,0.391,0.322,0.603,42.3,81.4,6.9,23.2,0.563,15.7,39,0.287,0.373,8.8,30.2,0.216
19,19,2024-11-27,,DET,W,131,111,,124.5,105.5,105.2,0.172,0.495,0.655,50,60.8,12.4,8.5,0.64,14.5,23.3,0.129,0.547,17.2,22,0.212
20,20,2024-11-29,,NOP,W,120,109,,116.9,106.2,102.6,0.177,0.427,0.58,47.4,76.6,8.8,8.1,0.552,13.4,30.4,0.146,0.467,12.6,27.5,0.264
21,21,2024-12-01,,IND,W,136,121,,128,113.9,106.3,0.29,0.495,0.648,50.6,73.5,8.5,12.5,0.613,8.7,18.6,0.237,0.556,12.9,15.8,0.233
22,22,2024-12-03,@,DAL,L,116,121,,108.2,112.9,107.2,0.144,0.412,0.562,55.7,60,14,6.1,0.531,15.6,27.1,0.134,0.562,19.9,35,0.37
23,23,2024-12-05,,SAC,W,115,110,,109.1,104.4,105.4,0.4,0.475,0.611,48.4,71.1,8.5,7.9,0.556,19,22,0.325,0.439,10.5,25.9,0.245
24,24,2024-12-07,@,BOS,W,127,121,,117.8,112.3,107.8,0.245,0.351,0.61,49.5,53.2,12.1,15.6,0.58,11.1,23.4,0.191,0.486,10,26.8,0.181
25,25,2024-12-08,@,WAS,W,140,112,,127.6,102.1,109.7,0.302,0.448,0.644,53.1,68,10.9,11.8,0.609,14.2,27.3,0.24,0.46,16.1,37,0.2
26,26,2024-12-13,,BRK,W,135,119,,125.5,110.7,107.5,0.212,0.364,0.624,45.6,63.5,8.4,10.3,0.611,10.7,26.7,0.141,0.565,15.2,17.8,0.163
27,27,2024-12-15,@,LAL,L,110,116,,100.5,106,109.4,0.309,0.289,0.499,46.8,65.8,9.1,6.3,0.438,16,33.3,0.258,0.537,18.8,23.3,0.341
28,28,2024-12-19,,GSW,W,144,93,,137.3,88.7,104.9,0.153,0.49,0.688,37.5,71.7,10.5,14.8,0.679,14,36.6,0.112,0.422,15.2,18.2,0.189
29,29,2024-12-21,@,ATL,W,128,112,,117.2,102.5,109.3,0.134,0.423,0.623,50.6,70,11.9,2.4,0.608,14.9,18.6,0.103,0.575,21.6,15.8,0.25
30,30,2024-12-23,,LAC,L,110,114,,102.6,106.4,107.2,0.263,0.424,0.498,48.6,68.4,7.5,8.7,0.465,15.3,33.3,0.182,0.484,13.7,28.8,0.219
31,31,2024-12-26,,TOR,W,155,126,,136.4,110.8,113.7,0.266,0.413,0.636,38.8,62.1,7,12.3,0.615,12.9,47.1,0.193,0.519,11.5,25,0.13
32,32,2024-12-27,@,NOP,W,132,124,,120.7,113.4,109.4,0.393,0.461,0.632,51.7,71.4,11,12.1,0.567,14,21.4,0.348,0.505,13.5,26.7,0.281
33,33,2024-12-29,@,OKC,L,106,130,,99.4,121.9,106.6,0.216,0.526,0.499,46.9,81.1,5.6,6.8,0.454,16.5,30.8,0.186,0.573,8.5,20.5,0.117
34,34,2024-12-31,@,PHO,W,117,112,,110.1,105.4,106.2,0.351,0.468,0.539,45.7,67.5,9.4,9.7,0.505,13.5,32.7,0.234,0.505,14.2,22.2,0.207
35,35,2025-01-03,@,SAC,L,133,138,,126.4,131.2,105.2,0.404,0.416,0.634,42,72.1,4.8,7.7,0.579,14,34.1,0.337,0.601,8.4,21.3,0.192
36,36,2025-01-04,@,GSW,L,113,121,,113.4,121.4,99.7,0.182,0.307,0.594,40.3,63,9,17.1,0.574,19.5,37.5,0.136,0.661,16.5,22.5,0.119
37,37,2025-01-06,,DAL,W,119,104,,114.4,100,104,0.398,0.398,0.575,47.6,60,10.6,8.1,0.523,12.7,26,0.307,0.474,12.5,23.6,0.112
38,38,2025-01-09,,HOU,L,115,119,,109.3,113.1,105.2,0.357,0.381,0.592,50.6,47.6,8.6,12.9,0.56,17.1,26.3,0.25,0.495,10.2,32.7,0.25
39,39,2025-01-11,@,MIN,W,127,125,,123.7,121.8,102.6,0.176,0.38,0.546,47.1,52.1,12.7,7.3,0.519,10,38.2,0.139,0.669,17.2,21.9,0.169
40,40,2025-01-13,@,HOU,L,118,120,,118.1,120.1,99.9,0.25,0.381,0.633,56.3,33.3,17,4,0.619,16.2,24.2,0.167,0.605,19.6,39.5,0.272
41,41,2025-01-15,@,SAS,W,129,115,,125.7,112.1,102.6,0.165,0.369,0.584,45.8,54.9,6.8,10.9,0.573,6.8,27.5,0.107,0.539,9.8,15.6,0.213
42,42,2025-01-17,@,SAS,W,140,112,,140.4,112.3,99.7,0.155,0.454,0.676,49.4,70.9,9,0,0.665,8,25,0.113,0.554,15.3,24.4,0.226
43,43,2025-01-20,,MIN,W,108,106,,109.2,107.1,98.9,0.395,0.384,0.535,52.5,51.4,9.1,8,0.471,11.4,27.1,0.314,0.462,13.2,33.3,0.215
44,44,2025-01-22,,CHO,W,132,120,,131.4,119.4,100.5,0.143,0.48,0.634,45.2,73.5,9,10.9,0.607,13.3,37.1,0.133,0.541,13.8,28.9,0.314
45,45,2025-01-24,,NOP,W,139,126,,139.8,126.8,99.4,0.079,0.416,0.665,44.9,67.9,8,8.2,0.649,11.1,37.2,0.079,0.627,11.8,22.9,0.265
46,46,2025-01-25,,UTA,W,125,103,,126.2,104,99.1,0.405,0.452,0.632,47.1,65.1,10.1,20,0.595,14.7,33.3,0.298,0.489,14.7,30.4,0.141
47,47,2025-01-27,@,NYK,L,106,143,,101.5,136.9,104.5,0.187,0.264,0.538,49.5,51.2,4.8,14.1,0.5,20.9,38.3,0.165,0.597,8.7,37,0.13
48,48,2025-01-30,,HOU,W,120,119,,122.4,121.4,98,0.215,0.301,0.589,54.9,47.9,7.1,9.2,0.565,9.8,25.7,0.161,0.5,9.9,40.4,0.227
49,49,2025-02-02,@,MIL,W,132,119,,128.8,116.1,102.5,0.206,0.364,0.566,37.1,71.2,8.8,10.9,0.551,9.3,44,0.131,0.593,11.6,17,0.121
50,50,2025-02-03,,SAS,W,128,109,,115.1,98,111.2,0.202,0.364,0.594,50.5,68.8,15.3,9.1,0.556,12.2,20.4,0.182,0.516,18.7,19.6,0.165
51,51,2025-02-05,@,TOR,W,138,107,,140.8,109.2,98,0.427,0.427,0.653,35.8,46.8,7.1,8.9,0.618,14.5,54.5,0.315,0.459,8.6,27.5,0.173
52,52,2025-02-08,,OKC,L,112,125,,115.1,128.5,97.3,0.481,0.346,0.57,57.9,58.3,7.2,14.3,0.519,11.7,22.7,0.346,0.514,7.3,41.2,0.162
53,53,2025-02-11,@,PHO,W,119,112,,115.4,108.6,103.1,0.27,0.39,0.532,41.2,51.2,7.8,6.3,0.49,10.4,36.4,0.21,0.511,10.6,14.9,0.196
54,54,2025-02-12,@,LAC,L,114,128,,108.1,121.4,105.5,0.169,0.404,0.596,53.5,54.5,4.7,6.9,0.596,18.7,21.4,0.09,0.575,14.2,29.5,0.226
55,55,2025-02-20,@,IND,L,113,127,,109.5,123.1,103.2,0.222,0.394,0.52,50,68.3,5.8,15.2,0.475,10.7,24.5,0.192,0.599,9.8,20.9,0.198
56,56,2025-02-21,@,ORL,W,105,104,,103.5,102.5,101.5,0.315,0.359,0.501,48.5,57.9,6.9,12.3,0.451,12.5,28.8,0.239,0.46,12,25.5,0.261
57,57,2025-02-23,@,CLE,L,123,129,,119.9,125.7,102.6,0.337,0.424,0.582,60.6,66.7,7.8,9.6,0.538,11.7,25.5,0.261,0.53,10.9,46.8,0.242
58,58,2025-02-25,,PHO,W,151,148,OT,131,128.4,104.4,0.303,0.485,0.673,54.8,69.2,8.7,6.5,0.626,9.7,15.6,0.273,0.641,12.7,20.5,0.212
59,59,2025-02-28,,NYK,L,113,114,,112.5,113.5,100.4,0.234,0.33,0.545,37.6,59.1,2,7,0.489,15.5,41.3,0.223,0.532,8.1,17,0.137
60,60,2025-03-01,,SAS,L,128,130,,125.2,127.2,102.2,0.211,0.4,0.617,50.6,62,6.8,13.3,0.584,11.1,29.3,0.179,0.594,11,31,0.167
61,61,2025-03-03,,ATL,L,130,132,,131,133,99.3,0.269,0.355,0.625,42.7,76.6,7.1,4.4,0.575,16.1,48.6,0.247,0.641,10.4,35,0.094
62,62,2025-03-05,,OKC,L,103,120,,100.7,117.4,102.3,0.242,0.374,0.512,44.3,56.8,8.8,2,0.456,13.7,23.4,0.22,0.592,10.3,7.3,0.195
63,63,2025-03-07,@,DAL,W,122,111,,117.4,106.8,104,0.151,0.198,0.54,43.3,56,8.7,21.8,0.509,8.9,33.3,0.132,0.464,10.1,20.8,0.229
64,64,2025-03-09,@,NOP,W,107,104,,112.2,109,95.4,0.192,0.495,0.498,40.6,58.5,11.5,11.8,0.48,11.5,44.2,0.121,0.488,12.6,22.7,0.247
65,65,2025-03-10,,PHO,W,120,118,,122.8,120.8,97.7,0.314,0.535,0.613,54.1,65,9.2,13.5,0.564,13.3,26.2,0.267,0.567,13.8,34.9,0.178
66,66,2025-03-12,,UTA,W,122,115,,114.7,108.1,106.4,0.223,0.468,0.591,60.6,69.8,14.1,10.7,0.564,8,10.4,0.17,0.533,18.4,33.3,0.211
67,67,2025-03-14,,CLE,L,124,133,,114.7,123,108.1,0.216,0.371,0.584,48.9,52.1,10.2,8.1,0.552,11.6,22.2,0.175,0.608,13.5,18.6,0.295
68,68,2025-03-15,,MIA,W,125,91,,130.4,94.9,95.9,0.13,0.337,0.642,42,60.8,7.3,11.8,0.62,10.2,28.9,0.12,0.449,12.9,20,0.136
69,69,2025-03-17,@,SAC,L,122,132,,120.3,130.2,101.4,0.233,0.333,0.615,44.2,54.5,7.9,14.9,0.561,15.4,34.9,0.233,0.636,12.2,23.3,0.227
70,70,2025-03-19,@,POR,L,99,115,,101.4,117.7,97.7,0.228,0.326,0.489,61.9,62.2,11.3,8,0.446,9,18.9,0.185,0.51,13.9,42.3,0.177
71,71,2025-03-21,@,LAC,L,108,128,,108.1,128.1,99.9,0.137,0.516,0.536,51.8,70,8,6.8,0.521,9,19.6,0.095,0.686,14.4,6.3,0.269
72,72,2025-03-25,@,UTA,W,140,103,,147.6,108.6,94.9,0.184,0.459,0.661,35,73.1,7.4,11.1,0.633,7.8,41.5,0.163,0.545,13.8,10.3,0.231
73,73,2025-03-27,@,OKC,L,104,125,,101.2,121.6,102.8,0.291,0.532,0.583,55.6,84.8,8.8,6.8,0.519,17.6,11.6,0.278,0.561,10.5,18.4,0.267
74,74,2025-03-29,,LAL,L,127,134,,122.4,129.2,103.8,0.189,0.337,0.617,50.6,66,6.7,8.7,0.6,10.4,20.9,0.137,0.612,11.4,20,0.281
75,75,2025-03-31,,BOS,L,103,117,,99.9,113.5,103.1,0.174,0.478,0.52,54.5,51.2,8.7,8.8,0.505,10,10.6,0.109,0.516,11.1,23.1,0.188
76,76,2025-04-01,,GSW,L,125,134,,119.1,127.7,105,0.239,0.478,0.615,53.3,50,6.7,14,0.576,13.6,19,0.207,0.535,9,30,0.283
77,77,2025-04-03,@,MIA,W,110,108,,114,111.9,96.5,0.2,0.447,0.595,49,60,8.3,6.5,0.565,16.3,27.3,0.165,0.484,9.6,28.8,0.168
78,78,2025-04-05,@,DET,W,109,103,,106.5,100.6,102.4,0.309,0.34,0.51,40.7,48.7,3.9,5.6,0.463,12.3,32.1,0.234,0.443,6.2,14.5,0.188
79,79,2025-04-08,@,CHO,W,124,100,,124.3,100.2,99.8,0.28,0.591,0.594,42.2,54.8,12,7,0.548,11.8,30.4,0.237,0.525,14.1,13.6,0.185
80,80,2025-04-10,,MIN,L,125,141,,120.5,135.9,103.8,0.236,0.404,0.636,55.4,56.5,4.8,4.7,0.618,13.2,19.5,0.169,0.667,13.9,24.2,0.287
81,81,2025-04-11,@,DEN,L,109,117,,104.9,112.6,104,0.209,0.473,0.549,55.9,63.4,7.7,7.5,0.527,11.6,14.6,0.143,0.511,11.1,24.4,0.264
82,82,2025-04-13,,DAL,W,132,97,,131.1,96.3,100.7,0.144,0.394,0.597,41.8,59.6,12.9,11.9,0.572,9.8,40.4,0.125,0.466,15.7,22.7,0.184